   0.0   1000.00           -0.12506        -0.11756       *********       *********       *********
1000.0    882.44           -0.11036        -0.10374        -0.11756        -0.11065       *********
2000.0    778.70           -0.09739        -0.09154        -0.10374        -0.09764        -0.09739
3000.0    687.16           -0.08594        -0.08078        -0.09154        -0.08616        -0.08594
4000.0    606.38           -0.07584        -0.07128        -0.08078        -0.07603        -0.07583
5000.0    535.10           -0.06692        -0.06290        -0.07128        -0.06709        -0.06692
6000.0    472.19           -0.05905        -0.05551        -0.06290        -0.05921        -0.05905
7000.0    416.68           -0.05211        -0.04898        -0.05551        -0.05225        -0.05211
8000.0    367.70           -0.04598        -0.04323        -0.04898        -0.04610       *********
9000.0    324.47           -0.04058       *********        -0.04323       *********       *********
